Locality,Longitude,Latitude,Unit or Fault,Line Type,Plunge,Trend,Altitude, notes
5-21-19-3,104.980352,32.542108, Fault, Slickenside,18,129,854.231663, 
5-21-19-3,104.980341,32.542065, Fault, Slickenside,8,109,862.391575, 
5-21-19-2,104.984971,32.538602, Fault, Slickenside,10,115,876.196262, 
5-21-19-1,104.987283,32.534255, Fault, Slickenside,15,131,853.543338, 
5-21-19-1,104.987305,32.534166, Fault, Slickenside,3,322,855.061131, 
5-21-19-1,104.987186,32.534077, Fault, Slickenside,14,131,868.800266, 
5-20-19-32,105.066712,32.598402, Pt, Fold Axis,59,267,1081.588623, 
5-20-19-24,105.077937,32.56126, Fault, Slickenside,16,177,882.451416, 
5-20-19-22,105.076136,32.55314, Fault, Slickenside,8,8,868.563965, May be recent
5-20-19-22,105.076186,32.551919, Fault, Slickenside,8,8,871.543823, 
5-20-19-22,105.076201,32.551933, Fault, Slickenside,8,8,870.294434, 
5-20-19-20,105.189264,32.65476, Fault, Slickenside,1,115,1229.726934, 
5-20-19-20,105.189234,32.654744, Fault, Slickenside,4,290,1229.68137, 
5-20-19-19,105.178974,32.649532, Fault, Slickenside,4,89,1116.349086, 
5-20-19-19,105.178923,32.649543, Fault, Slickenside,20,129,1108.224007, 
5-20-19-19,105.178869,32.649495, Fault, Slickenside,25,122,1105.807869, 
4-17-19-4,105.173901,32.641537, Fault, Slickenside,8,68,1009.663216, 
5-20-19-6,105.212495,32.608712, Fault, Slickenside,33,136,839.768398, 
5-20-19-6,105.212513,32.608721, Fault, Slickenside,30,149,846.26376, 
5-20-19-6,105.212455,32.608621, Fault, Slickenside,27,133,839.81918, 
5-20-19-6,105.212596,32.608461, Fault, Slickenside,49,173,844.47665, 
5-20-19-6,105.212596,32.60844, Fault, Slickenside,47,166,857.913174, 
5-20-19-5,105.213268,32.605974, Fault, Slickenside,0,171,835.745327, 
5-20-19-5,105.21327,32.605967, Fault, Slickenside,7,342,835.199062, 
5-20-19-5,105.213234,32.605894, Fault, Slickenside,23,325,827.454189, 
5-20-19-5,105.213234,32.605894, Fault, Slickenside,15,327,827.454189, 
5-20-19-5,105.213236,32.605896, Fault, Slickenside,35,326,826.604824, 
5-20-19-5,105.213179,32.605964, Fault, Slickenside,22,328,833.199306, 
5-20-19-5,105.213177,32.605966, Fault, Slickenside,25,345,834.133999, 
5-20-19-5,105.213184,32.605952, Fault, Slickenside,24,340,834.141201, 
5-20-19-5,105.213184,32.605952, Fault, Slickenside,10,345,834.141201, 
5-19-19-17,105.306399,32.609659, Fault, Slickenside,13,295,677.389604, 
5-19-19-17,105.306249,32.609636, Fault, Slickenside,50,59,684.975192, 
5-19-19-17,105.306299,32.609599, Fault, Slickenside,6,281,684.458273, 
5-19-19-17,105.306288,32.609599, Fault, Slickenside,8,92,685.909856, 
5-19-19-17,105.306276,32.609594, Fault, Slickenside,25,78,685.66562, 
5-19-19-17,105.306289,32.609598, Fault, Slickenside,10,95,684.118071, 
5-19-19-17,105.306299,32.609578, Fault, Slickenside,58,77,683.176034, 
5-19-19-17,105.306295,32.609581, Fault, Slickenside,45,98,683.568979, 
5-19-19-17,105.306339,32.609608, Fault, Slickenside,4,288,682.806452, 
5-19-19-17,105.306338,32.609611, Fault, Slickenside,9,275,681.451983, 
5-19-19-17,105.306416,32.609617, Fault, Slickenside,3,260,683.068694, 
5-19-19-17,105.306416,32.609617, Fault, Slickenside,1,272,683.068694, 
5-19-19-17,105.306416,32.609617, Fault, Slickenside,3,285,683.068694, 
5-19-19-17,105.306453,32.609595, Fault, Slickenside,22,301,681.324751, 
5-19-19-17,105.306454,32.609601, Fault, Slickenside,24,296,682.164011, 
5-19-19-17,105.306452,32.609612, Fault, Slickenside,13,295,683.166784, 
5-19-19-17,105.30646,32.609642, Fault, Slickenside,1,298,667.774258, 
5-19-19-16,105.327381,32.612563, Fault, Slickenside,21,224,627.73125, 
5-19-19-16,105.32738,32.612612, Fault, Slickenside,18,18,630.005337, 
5-19-19-16,105.327337,32.612565, Fault, Slickenside,25,219,625.079922, 
5-19-19-16,105.327429,32.612595, Fault, Slickenside,29,209,628.910922, 
5-19-19-16,105.327374,32.612566, Fault, Slickenside,5,211,625.508715, 
5-19-19-14,105.351714,32.621986, Fault, Slickenside,7,245,624.762976, 
5-19-19-14,105.351714,32.621986, Fault, Slickenside,7,249,624.762976, 
5-19-19-14,105.351734,32.621979, Fault, Lineation,12,44,624.278698, 
5-19-19-14,105.351709,32.622006, Fault, Slickenside,10,54,623.661413, 
5-19-19-14,105.351715,32.622003, Fault, Slickenside,3,228,623.862323, 
5-19-19-14,105.351728,32.622003, Fault, Slickenside,17,231,623.853, 
5-19-19-14,105.351728,32.622003, Fault, Slickenside,9,263,623.853, 
5-19-19-14,105.351728,32.622003, Fault, Slickenside,11,261,623.853, 
5-19-19-14,105.351714,32.622048, Fault, Slickenside,14,263,630.167439, 
5-19-19-14,105.351725,32.622064, Fault, Slickenside,2,89,631.951689, 
5-19-19-14,105.351725,32.622064, Fault, Slickenside,3,269,631.951689, 
5-19-19-14,105.351728,32.62205, Fault, Slickenside,4,270,632.28416, 
5-19-19-14,105.351696,32.62204, Fault, Slickenside,16,44,632.166074, 
5-19-19-14,105.351673,32.622031, Fault, Slickenside,0,82,632.18478, 
5-19-19-11,105.456476,32.672254, Fault, Slickenside,21,11,609.333584, 
5-19-19-11,105.456476,32.672254, Fault, Slickenside,27,5,609.333584, 
5-18-19-18,105.064613,32.693682, S, Fold Axis,77,268,1023.99992, 
5-18-19-18,105.064627,32.693685, S, Fold Axis,74,263,1028.852703, 
5-18-19-18,105.064621,32.693685, S, Fold Axis,65,274,1030.178387, 
5-18-19-17,105.0749,32.700853, Fault, Slickenside,83,294,924.436565, 
5-18-19-12,105.077623,32.713063, Fault, Slickenside,13,101,842.63908, 
5-18-19-12,105.077612,32.713058, Fault, Slickenside,15,98,843.041424, 
5-18-19-12,105.077643,32.713071, Fault, Slickenside,5,93,845.467083, 
5-18-19-12,105.077645,32.713051, Fault, Slickenside,7,95,845.03117, 
5-18-19-12,105.077681,32.713058, Fault, Slickenside,1,86,840.821819, 
5-18-19-10,105.077252,32.71832, Fault, Slickenside,28,95,808.267742, 
5-18-19-10,105.077286,32.718369, Fault, Slickenside,28,94,808.350994, 
5-18-19-8,105.079734,32.728553, S, Fold Axis,73,89,785.482586, 
5-18-19-8,105.07974,32.728538, S, Fold Axis,71,76,786.526653, 
5-18-19-8,105.07974,32.728538, S, Fold Axis,80,78,786.526653, 
5-18-19-8,105.07974,32.728538, S, Fold Axis,74,86,786.526653, 
5-18-19-6,105.039006,32.74741, Fault, Slickenside,21,274,754.644489, 
5-18-19-6,105.039006,32.74741, Fault, Slickenside,22,285,754.644489, 
5-18-19-6,105.038979,32.74756, Fault, Slickenside,23,283,761.409588, 
5-18-19-6,105.038988,32.747572, Fault, Slickenside,23,281,760.70573, 
5-18-19-6,105.038936,32.747515, Fault, Slickenside,27,280,765.51568, 
5-18-19-6,105.038921,32.747511, Fault, Slickenside,25,285,766.631402, 
5-18-19-6,105.038919,32.747501, Fault, Slickenside,31,299,765.906325, 
5-18-19-6,105.038911,32.747551, Fault, Slickenside,29,289,765.633465, 
5-18-19-6,105.03892,32.74756, Fault, Slickenside,24,292,764.128582, 
5-18-19-6,105.038923,32.74756, Fault, Slickenside,29,296,763.576702, 
5-18-19-6,105.038923,32.747561, Fault, Slickenside,25,299,766.225506, 
5-18-19-4,104.894956,32.706009, Fault, Slickenside,19,279,1037.185535, 
5-18-19-4,104.894956,32.706009, Fault, Slickenside,8,280,1037.185535, 
5-18-19-4,104.89408,32.706575, Fault, Slickenside,6,272,1105.182117, 
5-18-19-4,104.894105,32.706588, Fault, Slickenside,10,279,1098.285389, 
5-17-19-20,104.757076,32.81174, S, Fold Axis,17,172,1662.892167, 
5-17-19-20,104.757119,32.811734, S, Fold Axis,11,169,1661.251901, 
5-17-19-19,104.756056,32.821349, S, Fold Axis,14,201,1549.153831, 
5-17-19-19,104.755991,32.821478, S, Fold Axis,38,235,1551.553123, 
5-17-19-19,104.75598,32.821476, S, Fold Axis,22,227,1550.303856, 
5-17-19-19,104.756,32.821475, S, Fold Axis,17,215,1549.466576, 
5-17-19-19,104.756,32.821475, S, Fold Axis,10,216,1549.466576, 
5-17-19-18,104.75886,32.831589, S, Fold Axis,10,158,1536.946678, 
5-17-19-18,104.758858,32.831667, S, Fold Axis,8,134,1536.562157, 
5-17-19-18,104.758832,32.83165, S, Fold Axis,8,131,1536.664452, 
5-17-19-18,104.758826,32.831642, S, Fold Axis,43,144,1532.729881, 
5-17-19-18,104.758756,32.831605, S, Fold Axis,12,158,1531.727562, 
5-17-19-18,104.758219,32.836704, S, Fold Axis,56,117,1516.747551, 
5-17-19-18,104.758238,32.836713, S, Fold Axis,23,123,1518.311774, 
5-17-19-17,104.758746,32.849728, Fault, Slickenside,51,117,1487.836182, 
5-17-19-17,104.758837,32.849703, Fault, Slickenside,40,126,1489.454247, 
5-17-19-15,104.796512,32.870265, Fault, Slickenside,13,272,868.925926, 
5-17-19-15,104.796498,32.870272, Fault, Slickenside,2,89,867.747215, 
5-17-19-15,104.796531,32.870508, Fault, Slickenside,19,37,871.193993, 
5-17-19-15,104.796423,32.870774, S, Fold Axis,35,90,870.386375, 
5-17-19-15,104.796441,32.870785, S, Fold Axis,53,86,869.01284, 
5-17-19-15,104.796462,32.870783, S, Fold Axis,37,50,863.738182, 
5-17-19-15,104.796535,32.870888, S, Fold Axis,15,251,876.091454, 
5-17-19-15,104.796549,32.870892, S, Fold Axis,13,253,875.682762, 
5-17-19-15,104.796574,32.870899, S, Fold Axis,17,261,859.121727, 
5-17-19-15,104.79647,32.870992, Fault, Slickenside,27,63,875.904814, 
5-17-19-15,104.796458,32.870982, Fault, Slickenside,13,34,877.778819, 
5-17-19-15,104.796456,32.870988, Fault, Slickenside,33,44,877.915292, 
5-17-19-15,104.79644,32.870988, Fault, Slickenside,15,75,877.981603, 
5-17-19-15,104.796414,32.871037, Fault, Slickenside,29,66,882.055565, 
5-17-19-15,104.796356,32.87107, Fault, Slickenside,22,49,877.437889, 
5-17-19-15,104.796515,32.871243, S, Fold Axis,58,101,868.741112, 
5-17-19-15,104.796515,32.871243, S, Fold Axis,35,82,868.741112, 
5-17-19-15,104.796621,32.871387, Fault, Slickenside,26,71,866.440942, 
5-17-19-15,104.796539,32.871119, Fault, Slickenside,2,82,872.829735, 
5-17-19-15,104.796539,32.871119, Fault, Slickenside,7,86,872.829735, 
5-17-19-15,104.796543,32.871121, Fault, Slickenside,7,263,873.150658, 
5-17-19-15,104.79652,32.871108, Fault, Slickenside,7,272,872.861717, 
5-17-19-15,104.796489,32.871092, Fault, Slickenside,7,269,873.265282, 
5-17-19-15,104.796472,32.871129, S, Fold Axis,52,64,871.001122, 
5-17-19-15,104.796472,32.871129, S, Fold Axis,60,62,871.001122, 
5-17-19-15,104.796464,32.871127, S, Fold Axis,53,69,870.410301, 
5-17-19-15,104.79642,32.871083, Fault, Slickenside,9,61,872.64492, 
5-17-19-15,104.79635,32.870691, Fault, Slickenside,18,257,872.313011, 
5-17-19-15,104.796437,32.870582, Fault, Slickenside,4,50,871.476219, 
5-17-19-15,104.796314,32.870561, Fault, Slickenside,4,50,873.693016, 
5-17-19-12,104.72768,32.926665, Fault, Slickenside,42,245,893.809902, 
5-17-19-12,104.727695,32.926692, Fault, Slickenside,7,89,895.669765, 
5-17-19-12,104.727576,32.92662, Fault, Slickenside,11,97,894.501553, 
5-17-19-12,104.727576,32.92662, Fault, Slickenside,16,101,894.501553, 
5-17-19-12,104.727444,32.926567, Fault, Slickenside,38,222,902.37228, 
