Locality,Longitude,Latitude,Unit,Plane Type,strike,dip,altitude (m)
5-21-19-12,105.118462,32.420044, Cambrian, Foliation,218,31,692.64607
5-21-19-12,105.104783,32.435211, Cambrian, Foliation,234,40,709.309292
5-21-19-12,105.104804,32.43517, Cambrian, Foliation,230,38,709.220547
5-21-19-12,105.104804,32.435171, Cambrian, Foliation,221,47,704.325826
5-21-19-12,105.096771,32.444587, S, Foliation,255,39,698.635723
5-21-19-12,105.096806,32.44456, S, Foliation,246,31,699.005842
5-21-19-11,105.080838,32.458143, S, Foliation,9,36,701.240222
5-21-19-11,105.081023,32.458198, S, Foliation,248,56,703.12533
5-21-19-11,105.081099,32.458224, S, Foliation,31,41,703.293179
5-21-19-11,105.071294,32.468809, S, Foliation,247,40,702.674648
5-21-19-11,105.071329,32.468797, S, Foliation,251,38,706.079556
5-21-19-11,105.079573,32.487805, S, Foliation,258,60,734.3997
5-21-19-11,105.079613,32.487831, S, Foliation,267,63,734.199914
5-21-19-10,105.072405,32.507161, S, Foliation,236,82,768.180481
5-21-19-10,105.072306,32.507162, S, Foliation,217,75,768.365305
5-21-19-10,105.072291,32.507175, S, Foliation,235,77,768.692561
5-21-19-10,105.063064,32.523874, S, Foliation,282,76,817.734741
5-21-19-10,105.063064,32.523921, S, Foliation,276,71,804.947876
5-21-19-9,105.042965,32.530301, S, Foliation,250,75,876.705603
5-21-19-9,105.043131,32.530234, S, Foliation,266,77,876.266057
5-21-19-8,104.942404,32.559038, Pt, Foliation,255,88,1037.70261
5-21-19-8,104.942435,32.55911, Pt, Foliation,83,86,1037.60471
5-21-19-8,104.942354,32.559233, Pt, Foliation,266,72,1031.525364
5-21-19-7,104.957809,32.557388, Pt, Foliation,247,24,989.777073
5-21-19-6,104.965551,32.551952, Pt, Foliation,249,78,962.27219
5-21-19-6,104.96561,32.551966, Pt, Foliation,248,77,963.631077
5-21-19-5,104.971092,32.547492, Pt, Foliation,244,69,921.983128
5-21-19-5,104.971123,32.547521, Pt, Foliation,257,70,908.22971
5-21-19-4,104.977155,32.544374, Pt, Foliation,227,55,895.579929
5-21-19-4,104.977672,32.544046, Pt, Foliation,242,62,889.286839
5-21-19-3,104.980223,32.542155, Pt, Foliation,238,59,854.995579
5-21-19-3,104.98037,32.542167, Pt, Foliation,232,59,845.934055
